,Rank,Player,Team,Position,Games Played,Attempts,Yards,Average Pass,Long,Big,Touchdown,YDS/G,Fumble,Lost,First Down,Year
0,1,Derrick Henry,TEN,RB,16,378,"2,027",5.4,94,16,17,126.7,3,2,98,2020
1,2,Dalvin Cook,MIN,RB,14,312,"1,557",5.0,70,6,16,111.2,4,2,91,2020
2,3,Jonathan Taylor,IND,RB,15,232,"1,169",5.0,62,7,11,77.9,1,1,69,2020
3,4,Aaron Jones,GB,RB,14,201,"1,104",5.5,77,6,9,78.9,1,0,52,2020
4,5,David Montgomery,CHI,RB,15,247,"1,070",4.3,80,5,8,71.3,0,0,59,2020
5,5,James Robinson,JAX,RB,14,240,"1,070",4.5,47,5,7,76.4,1,0,54,2020
6,7,Nick Chubb,CLE,RB,12,190,"1,067",5.6,59,12,12,88.9,1,1,55,2020
7,8,Josh Jacobs,LV,RB,15,273,"1,065",3.9,28,3,12,71.0,2,2,61,2020
8,9,Lamar Jackson,BAL,QB,15,159,"1,005",6.3,50,10,7,67.0,5,2,56,2020
9,10,Melvin Gordon III,DEN,RB,15,215,986,4.6,65,5,9,65.7,2,2,46,2020
10,11,Ezekiel Elliott,DAL,RB,15,244,979,4.0,31,3,6,65.3,5,4,62,2020
11,12,Ronald Jones,TB,RB,14,192,978,5.1,98,6,7,69.9,0,0,48,2020
12,13,Kenyan Drake,ARI,RB,15,239,955,4.0,69,6,10,63.7,3,1,59,2020
13,14,Alvin Kamara,NO,RB,15,187,932,5.0,49,7,16,62.1,1,0,58,2020
14,15,Miles Sanders,PHI,RB,12,164,867,5.3,82,4,6,72.3,4,2,39,2020
15,16,Kareem Hunt,CLE,RB,16,198,841,4.2,33,3,6,52.6,1,0,44,2020
16,17,Kyler Murray,ARI,QB,16,133,819,6.2,48,7,11,51.2,5,0,52,2020
17,18,J.K. Dobbins,BAL,RB,15,134,805,6.0,72,8,9,53.7,2,0,38,2020
18,19,Clyde Edwards-Helaire,KC,RB,13,181,803,4.4,31,3,4,61.8,0,0,39,2020
19,20,Antonio Gibson,WSH,RB,14,170,795,4.7,40,5,11,56.8,0,0,40,2020
20,21,Gus Edwards,BAL,RB,16,144,723,5.0,36,8,6,45.2,1,1,45,2020
21,22,James Conner,PIT,RB,13,169,721,4.3,59,5,6,55.5,2,0,42,2020
22,23,David Johnson,HOU,RB,12,147,691,4.7,48,4,6,57.6,0,0,38,2020
23,23,Damien Harris,NE,RB,10,137,691,5.0,41,4,2,69.1,1,0,30,2020
24,25,Devin Singletary,BUF,RB,16,156,687,4.4,51,3,2,42.9,1,1,40,2020
25,26,Wayne Gallman,NYG,RB,15,147,682,4.6,60,3,6,45.5,1,0,36,2020
26,27,Chris Carson,SEA,RB,12,141,681,4.8,29,3,5,56.8,1,0,43,2020
27,28,Todd Gurley II,ATL,RB,15,195,678,3.5,35,2,9,45.2,1,0,45,2020
28,29,Latavius Murray,NO,RB,15,146,656,4.5,36,3,4,43.7,1,0,36,2020
29,30,Frank Gore,NYJ,RB,15,187,653,3.5,17,0,2,43.5,1,1,32,2020
30,31,Mike Davis,CAR,RB,15,165,642,3.9,25,2,6,42.8,1,1,38,2020
31,32,Cam Akers,LAR,RB,13,145,625,4.3,61,4,2,48.1,1,1,26,2020
32,33,Darrell Henderson Jr.,LAR,RB,15,138,624,4.5,40,3,5,41.6,0,0,40,2020
33,34,Adrian Peterson,DET,RB,16,156,604,3.9,38,4,7,37.8,0,0,34,2020
34,35,Jeff Wilson Jr.,SF,RB,12,126,600,4.8,34,3,7,50.0,2,2,31,2020
35,36,Cam Newton,NE,QB,15,137,592,4.3,49,3,12,39.5,5,1,55,2020
36,37,Myles Gaskin,MIA,RB,10,142,584,4.1,26,3,3,58.4,2,2,27,2020
37,38,Austin Ekeler,LAC,RB,10,116,530,4.6,27,2,1,53.0,1,0,26,2020
38,39,Raheem Mostert,SF,RB,8,104,521,5.0,80,2,2,65.1,1,1,22,2020
39,39,D'Andre Swift,DET,RB,13,114,521,4.6,54,1,8,40.1,2,2,31,2020
40,41,Russell Wilson,SEA,QB,16,83,513,6.2,38,6,2,32.1,4,2,25,2020
41,42,Jamaal Williams,GB,RB,14,119,505,4.2,25,1,2,36.1,0,0,29,2020
42,43,Phillip Lindsay,DEN,RB,11,118,502,4.3,55,6,1,45.6,0,0,19,2020
43,44,Zack Moss,BUF,RB,13,112,481,4.3,31,4,4,37.0,0,0,30,2020
44,45,Brian Hill,ATL,RB,16,100,465,4.7,62,3,1,29.1,1,1,18,2020
45,46,Taysom Hill,NO,TE,16,87,457,5.3,43,2,8,28.6,7,3,34,2020
46,47,Sony Michel,NE,RB,9,79,449,5.7,48,4,1,49.9,0,0,19,2020
47,48,Chase Edmonds,ARI,RB,16,97,448,4.6,32,4,1,28.0,1,0,22,2020
48,49,Deshaun Watson,HOU,QB,16,90,444,4.9,16,0,3,27.8,4,1,31,2020
49,50,Tony Pollard,DAL,RB,16,101,435,4.3,42,4,4,27.2,0,0,23,2020
0,1,Jonathan Taylor,IND,RB,17,332,"1,811",5.5,83,14,18,106.5,3,2,107,2021
1,2,Nick Chubb,CLE,RB,14,228,"1,259",5.5,70,12,8,89.9,2,1,61,2021
2,3,Joe Mixon,CIN,RB,16,292,"1,205",4.1,32,6,13,75.3,1,1,60,2021
3,4,Najee Harris,PIT,RB,17,307,"1,200",3.9,37,6,7,70.6,0,0,62,2021
4,5,Dalvin Cook,MIN,RB,13,249,"1,159",4.7,66,9,6,89.2,3,2,57,2021
5,6,Antonio Gibson,WSH,RB,16,258,"1,037",4.0,27,4,7,64.8,5,3,65,2021
6,7,Ezekiel Elliott,DAL,RB,17,237,"1,002",4.2,47,3,10,58.9,1,1,55,2021
7,8,Elijah Mitchell,SF,RB,11,207,963,4.7,39,6,5,87.5,0,0,47,2021
8,9,Derrick Henry,TEN,RB,8,219,937,4.3,76,3,10,117.1,1,0,49,2021
9,10,Damien Harris,NE,RB,15,202,929,4.6,64,8,15,61.9,2,2,55,2021
10,11,Melvin Gordon III,DEN,RB,16,203,918,4.5,70,3,8,57.4,3,3,48,2021
11,12,Austin Ekeler,LAC,RB,16,206,911,4.4,28,3,12,56.9,0,0,53,2021
12,13,Javonte Williams,DEN,RB,17,203,903,4.4,49,6,4,53.1,2,1,52,2021
13,14,Alvin Kamara,NO,RB,13,240,898,3.7,30,3,4,69.1,0,0,42,2021
14,15,Josh Jacobs,LV,RB,15,217,872,4.0,28,2,9,58.1,2,2,45,2021
15,16,Devin Singletary,BUF,RB,17,188,870,4.6,46,6,7,51.2,2,0,44,2021
16,17,David Montgomery,CHI,RB,13,225,849,3.8,41,5,7,65.3,1,1,55,2021
17,18,Sony Michel,LAR,RB,17,208,845,4.1,39,2,4,49.7,1,1,49,2021
18,19,AJ Dillon,GB,RB,17,187,803,4.3,36,2,5,47.2,1,1,50,2021
19,20,Aaron Jones,GB,RB,15,171,799,4.7,57,5,4,53.3,1,1,37,2021
20,21,Jalen Hurts,PHI,QB,15,139,784,5.6,31,7,10,52.3,4,1,56,2021
21,22,Lamar Jackson,BAL,QB,12,133,767,5.8,31,5,2,63.9,4,2,48,2021
22,23,Josh Allen,BUF,QB,17,122,763,6.3,34,9,6,44.9,5,2,53,2021
23,24,Miles Sanders,PHI,RB,12,137,754,5.5,38,7,0,62.8,1,1,33,2021
24,25,James Conner,ARI,RB,15,202,752,3.7,35,3,15,50.1,2,0,53,2021
25,26,Rashaad Penny,SEA,RB,10,119,749,6.3,62,11,6,74.9,0,0,28,2021
26,27,Tony Pollard,DAL,RB,15,130,719,5.5,58,4,2,47.9,0,0,35,2021
27,28,Michael Carter,NYJ,RB,14,147,639,4.3,55,3,4,45.6,0,0,29,2021
28,29,Cordarrelle Patterson,ATL,RB,16,153,618,4.0,39,2,6,38.6,1,0,29,2021
29,30,D'Andre Swift,DET,RB,13,151,617,4.1,57,3,5,47.5,0,0,28,2021
30,31,Myles Gaskin,MIA,RB,17,173,612,3.5,30,2,3,36.0,2,1,25,2021
31,31,Chuba Hubbard,CAR,RB,17,172,612,3.6,26,3,5,36.0,1,1,36,2021
32,33,Rhamondre Stevenson,NE,RB,12,133,606,4.6,21,1,5,50.5,1,0,33,2021
33,34,Jamaal Williams,DET,RB,13,153,601,3.9,20,1,3,46.2,1,0,42,2021
34,35,Devontae Booker,NYG,RB,16,145,593,4.1,31,3,2,37.1,0,0,31,2021
35,35,Saquon Barkley,NYG,RB,13,162,593,3.7,41,3,2,45.6,1,1,27,2021
36,37,Chase Edmonds,ARI,RB,12,116,592,5.1,54,3,2,49.3,0,0,32,2021
37,38,Devonta Freeman,BAL,RB,16,133,576,4.3,32,4,5,36.0,0,0,31,2021
38,39,D'Onta Foreman,TEN,RB,9,133,566,4.3,35,4,3,62.9,2,1,22,2021
39,40,Darrel Williams,KC,RB,17,144,558,3.9,21,1,6,32.8,0,0,40,2021
40,41,Mark Ingram II,HOU/NO,RB,14,160,554,3.5,28,2,2,39.6,1,1,22,2021
41,42,D'Ernest Johnson,CLE,RB,17,100,534,5.3,30,4,3,31.4,0,0,24,2021
42,43,Clyde Edwards-Helaire,KC,RB,10,119,517,4.3,17,0,4,51.7,2,2,21,2021
43,44,Mike Davis,ATL,RB,17,138,503,3.6,18,0,3,29.6,2,1,21,2021
44,45,Latavius Murray,BAL,RB,14,119,501,4.2,46,3,6,35.8,0,0,36,2021
45,46,Alexander Mattison,MIN,RB,16,134,491,3.7,48,2,3,30.7,1,1,28,2021
46,47,Khalil Herbert,CHI,RB,17,103,433,4.2,29,4,2,25.5,0,0,24,2021
47,48,Ronald Jones,TB,RB,16,101,428,4.2,30,1,4,26.8,2,2,25,2021
48,49,Rex Burkhead,HOU,RB,16,122,427,3.5,36,2,3,26.7,1,0,30,2021
49,50,Kyler Murray,ARI,QB,14,88,423,4.8,57,1,5,30.2,12,0,25,2021
0,1,Josh Jacobs,LV,RB,17,340,"1,653",4.9,86,7,12,97.2,2,0,93,2022
1,2,Derrick Henry,TEN,RB,16,349,"1,538",4.4,56,10,13,96.1,4,2,65,2022
2,3,Nick Chubb,CLE,RB,17,302,"1,525",5.1,41,13,12,89.7,1,1,69,2022
3,4,Saquon Barkley,NYG,RB,16,295,"1,312",4.4,68,9,10,82.0,1,0,62,2022
4,5,Miles Sanders,PHI,RB,17,259,"1,269",4.9,40,9,11,74.6,1,1,62,2022
5,6,Dalvin Cook,MIN,RB,17,264,"1,173",4.4,81,5,8,69.0,3,3,50,2022
6,7,Justin Fields,CHI,QB,15,160,"1,143",7.1,67,10,8,76.2,9,0,65,2022
7,8,Christian McCaffrey,SF/CAR,RB,17,244,"1,139",4.7,49,9,8,67.0,1,0,59,2022
8,9,Travis Etienne Jr.,JAX,RB,17,220,"1,125",5.1,62,8,5,66.2,3,3,52,2022
9,10,Aaron Jones,GB,RB,17,213,"1,121",5.3,36,6,2,65.9,3,1,54,2022
10,11,Jamaal Williams,DET,RB,17,262,"1,066",4.1,58,4,17,62.7,3,2,65,2022
11,12,Kenneth Walker III,SEA,RB,15,228,"1,050",4.6,74,10,9,70.0,0,0,51,2022
12,13,Rhamondre Stevenson,NE,RB,17,210,"1,040",5.0,49,7,5,61.2,2,1,49,2022
13,14,Tyler Allgeier,ATL,RB,16,210,"1,035",4.9,44,6,3,64.7,0,0,53,2022
14,15,Najee Harris,PIT,RB,17,272,"1,034",3.8,36,1,7,60.8,2,1,45,2022
15,16,Tony Pollard,DAL,RB,16,193,"1,007",5.2,57,9,9,62.9,0,0,46,2022
16,17,Dameon Pierce,HOU,RB,13,220,939,4.3,75,7,4,72.2,4,2,54,2022
17,18,Austin Ekeler,LAC,RB,17,204,915,4.5,72,4,13,53.8,3,2,46,2022
18,19,D'Onta Foreman,CAR,RB,17,203,914,4.5,60,8,5,53.8,1,0,45,2022
19,20,Alvin Kamara,NO,RB,15,223,897,4.0,27,3,2,59.8,2,2,40,2022
20,21,Raheem Mostert,MIA,RB,16,181,891,4.9,67,6,3,55.7,1,1,44,2022
21,22,Ezekiel Elliott,DAL,RB,15,231,876,3.8,27,5,12,58.4,0,0,52,2022
22,23,Jonathan Taylor,IND,RB,11,192,861,4.5,66,5,4,78.3,3,3,39,2022
23,24,Jeff Wilson Jr.,SF/MIA,RB,16,176,860,4.9,41,7,5,53.8,2,1,44,2022
24,25,Isiah Pacheco,KC,RB,17,170,830,4.9,31,3,5,48.8,3,2,37,2022
25,26,Devin Singletary,BUF,RB,16,177,819,4.6,33,5,5,51.2,3,3,42,2022
26,27,Joe Mixon,CIN,RB,14,210,814,3.9,40,4,7,58.1,0,0,47,2022
27,28,David Montgomery,CHI,RB,16,201,801,4.0,28,2,5,50.1,1,1,41,2022
28,29,Brian Robinson Jr.,WSH,RB,12,205,797,3.9,24,2,2,66.4,2,0,49,2022
29,30,Cam Akers,LAR,RB,15,188,786,4.2,42,3,7,52.4,2,2,39,2022
30,31,James Conner,ARI,RB,13,183,782,4.3,23,3,7,60.2,3,1,48,2022
31,32,AJ Dillon,GB,RB,17,186,770,4.1,27,3,7,45.3,0,0,47,2022
32,33,Lamar Jackson,BAL,QB,12,112,764,6.8,79,5,3,63.7,4,1,46,2022
33,34,Josh Allen,BUF,QB,16,124,762,6.1,44,8,7,47.6,8,2,55,2022
34,35,Latavius Murray,NO/DEN,RB,13,171,760,4.4,52,5,6,58.5,1,0,44,2022
35,35,Jalen Hurts,PHI,QB,15,165,760,4.6,42,7,13,50.7,5,0,67,2022
36,37,Khalil Herbert,CHI,RB,13,129,731,5.7,63,4,4,56.2,0,0,26,2022
37,38,Daniel Jones,NYG,QB,16,120,708,5.9,25,4,7,44.3,2,1,57,2022
38,39,Cordarrelle Patterson,ATL,RB,13,144,695,4.8,40,4,8,53.5,1,1,39,2022
39,40,Leonard Fournette,TB,RB,16,189,668,3.5,23,1,3,41.8,0,0,39,2022
40,41,Taysom Hill,NO,TE,16,96,575,6.0,60,3,7,35.9,1,0,34,2022
41,42,Antonio Gibson,WSH,RB,15,149,546,3.7,20,1,3,36.4,1,0,32,2022
42,43,D'Andre Swift,DET,RB,14,99,542,5.5,50,3,5,38.7,0,0,21,2022
43,44,J.K. Dobbins,BAL,RB,8,92,520,5.7,44,4,2,65.0,0,0,26,2022
44,45,James Cook,BUF,RB,16,89,507,5.7,33,6,2,31.7,1,1,24,2022
45,46,Kenyan Drake,BAL,RB,12,109,482,4.4,40,5,4,40.2,1,0,21,2022
46,47,Rachaad White,TB,RB,17,129,481,3.7,35,2,1,28.3,1,1,27,2022
47,48,Kareem Hunt,CLE,RB,17,123,468,3.8,24,2,3,27.5,1,0,30,2022
48,49,Chuba Hubbard,CAR,RB,15,95,466,4.9,35,3,2,31.1,0,0,23,2022
49,50,Breece Hall,NYJ,RB,7,80,463,5.8,62,3,4,66.1,0,0,20,2022
