,Rank,Player,Team,Position,Games Played,Receptions,Targets,Yards,Average,Touchdown,Long,Big,Yards per Game,Fumble,Lost,Yards after Catch,First Down,Year
0,1,Stefon Diggs,BUF,WR,16,127,166,"1,535",12.1,8,55,20,95.9,0,0,0,0,2020
1,2,Travis Kelce,KC,TE,15,105,145,"1,416",13.5,11,45,23,94.4,1,1,1,1,2020
2,3,DeAndre Hopkins,ARI,WR,16,115,160,"1,407",12.2,6,60,17,87.9,3,2,2,2,2020
3,4,Justin Jefferson,MIN,WR,16,88,125,"1,400",15.9,7,71,23,87.5,1,0,0,0,2020
4,5,Davante Adams,GB,WR,14,115,149,"1,374",11.9,18,56,18,98.1,1,1,1,1,2020
5,5,Calvin Ridley,ATL,WR,15,90,143,"1,374",15.3,9,63,23,91.6,1,1,1,1,2020
6,7,DK Metcalf,SEA,WR,16,83,129,"1,303",15.7,10,62,17,81.4,1,1,1,1,2020
7,8,Tyreek Hill,KC,WR,15,87,135,"1,276",14.7,15,75,20,85.1,0,0,0,0,2020
8,9,Allen Robinson II,CHI,WR,16,102,151,"1,250",12.3,6,42,22,78.1,0,0,0,0,2020
9,10,Darren Waller,LV,TE,16,107,145,"1,196",11.2,9,38,16,74.8,2,2,2,2,2020
10,11,DJ Moore,CAR,WR,15,66,118,"1,193",18.1,4,74,19,79.5,0,0,0,0,2020
11,12,Brandin Cooks,HOU,WR,15,81,119,"1,150",14.2,6,57,20,76.7,0,0,0,0,2020
12,13,Terry McLaurin,WSH,WR,15,87,134,"1,118",12.9,4,68,17,74.5,1,1,1,1,2020
13,14,Amari Cooper,DAL,WR,16,92,130,"1,114",12.1,5,69,13,69.6,0,0,0,0,2020
14,15,Robbie Anderson,CAR,WR,16,95,136,"1,096",11.5,3,75,16,68.5,1,1,1,1,2020
15,16,A.J. Brown,TEN,WR,14,70,106,"1,075",15.4,11,73,13,76.8,2,1,1,1,2020
16,17,Tyler Lockett,SEA,WR,16,100,132,"1,054",10.5,10,47,10,65.9,1,0,0,0,2020
17,18,Mike Evans,TB,WR,16,70,109,"1,006",14.4,13,50,20,62.9,0,0,0,0,2020
18,19,Keenan Allen,LAC,WR,14,100,147,992,9.9,8,28,10,70.9,3,2,2,2,2020
19,20,Corey Davis,TEN,WR,14,65,92,984,15.1,5,75,14,70.3,1,1,1,1,2020
20,21,Marvin Jones Jr.,DET,WR,16,76,115,978,12.9,9,43,19,61.1,0,0,0,0,2020
21,22,Cooper Kupp,LAR,WR,15,92,124,974,10.6,3,55,12,64.9,0,0,0,0,2020
22,23,Cole Beasley,BUF,WR,15,82,107,967,11.8,4,35,15,64.5,0,0,0,0,2020
23,24,Robert Woods,LAR,WR,16,90,129,936,10.4,6,56,11,58.5,1,0,0,0,2020
24,25,CeeDee Lamb,DAL,WR,16,74,111,935,12.6,5,52,18,58.4,1,1,1,1,2020
25,26,Adam Thielen,MIN,WR,15,74,108,925,12.5,14,51,11,61.7,0,0,0,0,2020
26,27,Diontae Johnson,PIT,WR,15,88,144,923,10.5,7,47,10,61.5,1,0,0,0,2020
27,28,Tee Higgins,CIN,WR,16,67,108,908,13.6,6,67,14,56.8,1,1,1,1,2020
28,29,Nelson Agholor,LV,WR,16,48,82,896,18.7,8,85,15,56.0,0,0,0,0,2020
29,30,William Fuller V,HOU,WR,11,53,75,879,16.6,8,77,14,79.9,0,0,0,0,2020
30,31,Chase Claypool,PIT,WR,16,62,109,873,14.1,9,84,14,54.6,3,1,1,1,2020
31,32,Jerry Jeudy,DEN,WR,16,52,113,856,16.5,3,92,14,53.5,2,0,0,0,2020
32,33,Curtis Samuel,CAR,WR,15,77,97,851,11.1,3,44,12,56.7,1,0,0,0,2020
33,34,Michael Gallup,DAL,WR,16,59,105,843,14.3,5,55,11,52.7,0,0,0,0,2020
34,35,Tyler Boyd,CIN,WR,15,79,110,841,10.6,4,72,7,56.1,1,0,0,0,2020
35,36,Jarvis Landry,CLE,WR,15,72,101,840,11.7,3,32,11,56.0,1,0,0,0,2020
36,36,Chris Godwin,TB,WR,12,65,84,840,12.9,7,47,13,70.0,1,0,0,0,2020
37,38,JuJu Smith-Schuster,PIT,WR,16,97,128,831,8.6,9,31,13,51.9,3,1,1,1,2020
38,39,DeVante Parker,MIA,WR,14,63,103,793,12.6,4,31,10,56.6,1,0,0,0,2020
39,40,Russell Gage,ATL,WR,16,72,110,786,10.9,4,35,6,49.1,0,0,0,0,2020
40,41,Julio Jones,ATL,WR,9,51,68,771,15.1,3,44,16,85.7,0,0,0,0,2020
41,42,Marquise Brown,BAL,WR,16,58,100,769,13.3,8,70,13,48.1,0,0,0,0,2020
42,43,T.Y. Hilton,IND,WR,15,56,93,762,13.6,5,50,11,50.8,0,0,0,0,2020
43,44,Mike Williams,LAC,WR,15,48,85,756,15.8,5,64,13,50.4,0,0,0,0,2020
44,44,Alvin Kamara,NO,RB,15,83,107,756,9.1,5,52,9,50.4,0,0,0,0,2020
45,46,Darius Slayton,NYG,WR,16,50,96,751,15.0,3,41,10,46.9,1,1,1,1,2020
46,47,Brandon Aiyuk,SF,WR,12,60,96,748,12.5,5,49,10,62.3,0,0,0,0,2020
47,48,Tim Patrick,DEN,WR,15,51,79,742,14.5,6,61,14,49.5,0,0,0,0,2020
48,49,Jakobi Meyers,NE,WR,14,59,81,729,12.4,0,35,11,52.1,1,1,1,1,2020
49,50,Emmanuel Sanders,NO,WR,14,61,82,726,11.9,5,51,7,51.9,1,0,0,0,2020
0,1,Cooper Kupp,LAR,WR,17,145,191,"1,947",13.4,16,59,30,114.5,0,0,0,0,2021
1,2,Justin Jefferson,MIN,WR,17,108,167,"1,616",15.0,10,56,27,95.1,1,1,1,1,2021
2,3,Davante Adams,GB,WR,16,123,169,"1,553",12.6,11,59,19,97.1,0,0,0,0,2021
3,4,Ja'Marr Chase,CIN,WR,17,81,128,"1,455",18.0,13,82,22,85.6,2,1,1,1,2021
4,5,Deebo Samuel,SF,WR,16,77,121,"1,405",18.2,6,83,23,87.8,4,2,2,2,2021
5,6,Mark Andrews,BAL,TE,17,107,153,"1,361",12.7,9,43,20,80.1,1,0,0,0,2021
6,7,Tyreek Hill,KC,WR,17,111,159,"1,239",11.2,9,75,13,72.9,2,1,1,1,2021
7,8,Stefon Diggs,BUF,WR,17,103,164,"1,225",11.9,10,61,12,72.1,1,0,0,0,2021
8,9,Tyler Lockett,SEA,WR,16,73,107,"1,175",16.1,8,69,22,73.4,0,0,0,0,2021
9,10,Diontae Johnson,PIT,WR,16,107,169,"1,161",10.9,8,50,14,72.6,2,2,2,2,2021
10,11,DJ Moore,CAR,WR,17,93,163,"1,157",12.4,4,64,16,68.1,1,1,1,1,2021
11,12,Mike Williams,LAC,WR,16,76,129,"1,146",15.1,9,72,17,71.6,0,0,0,0,2021
12,13,Keenan Allen,LAC,WR,16,106,157,"1,138",10.7,6,42,12,71.1,1,0,0,0,2021
13,14,Travis Kelce,KC,TE,16,92,134,"1,125",12.2,9,69,13,70.3,1,1,1,1,2021
14,15,CeeDee Lamb,DAL,WR,16,79,120,"1,102",13.9,6,49,20,68.9,0,0,0,0,2021
15,16,Tee Higgins,CIN,WR,14,74,110,"1,091",14.7,6,54,17,77.9,1,1,1,1,2021
16,17,Michael Pittman Jr.,IND,WR,17,88,129,"1,082",12.3,6,57,12,63.6,1,0,0,0,2021
17,18,Darnell Mooney,CHI,WR,17,81,140,"1,055",13.0,4,64,14,62.1,0,0,0,0,2021
18,19,Terry McLaurin,WSH,WR,17,77,130,"1,053",13.7,5,46,15,61.9,0,0,0,0,2021
19,20,Hunter Renfrow,LV,WR,17,103,128,"1,038",10.1,9,54,10,61.1,1,1,1,1,2021
20,21,Brandin Cooks,HOU,WR,16,90,134,"1,037",11.5,6,52,12,64.8,0,0,0,0,2021
21,22,Mike Evans,TB,WR,16,74,114,"1,035",14.0,14,46,20,64.7,0,0,0,0,2021
22,23,Kyle Pitts,ATL,TE,17,68,110,"1,026",15.1,1,61,16,60.4,0,0,0,0,2021
23,24,Jaylen Waddle,MIA,WR,16,104,140,"1,015",9.8,6,57,8,63.4,1,0,0,0,2021
24,25,Marquise Brown,BAL,WR,16,91,146,"1,008",11.1,6,49,15,63.0,3,1,1,1,2021
25,26,Christian Kirk,ARI,WR,17,77,103,982,12.8,5,50,16,57.8,0,0,0,0,2021
26,27,DK Metcalf,SEA,WR,17,75,129,967,12.9,12,84,11,56.9,1,0,0,0,2021
27,28,DeVonta Smith,PHI,WR,17,64,104,916,14.3,5,46,16,53.9,1,1,1,1,2021
28,29,Amon-Ra St. Brown,DET,WR,17,90,119,912,10.1,5,37,11,53.6,0,0,0,0,2021
29,30,George Kittle,SF,TE,14,71,94,910,12.8,6,48,13,65.0,2,1,1,1,2021
30,31,A.J. Brown,TEN,WR,13,63,105,869,13.8,5,57,10,66.8,0,0,0,0,2021
31,32,Jakobi Meyers,NE,WR,17,83,126,866,10.4,2,39,12,50.9,1,1,1,1,2021
32,33,Amari Cooper,DAL,WR,15,68,104,865,12.7,8,41,15,57.7,1,0,0,0,2021
33,34,Chase Claypool,PIT,WR,15,59,105,860,14.6,2,59,13,57.3,0,0,0,0,2021
34,35,A.J. Green,ARI,WR,16,54,92,848,15.7,3,42,16,53.0,0,0,0,0,2021
35,36,Marvin Jones Jr.,JAX,WR,17,73,120,832,11.4,4,33,13,48.9,0,0,0,0,2021
36,37,Dallas Goedert,PHI,TE,15,56,76,830,14.8,4,45,14,55.3,1,0,0,0,2021
37,38,Tyler Boyd,CIN,WR,16,67,94,828,12.4,5,68,10,51.8,1,0,0,0,2021
38,39,Brandon Aiyuk,SF,WR,17,56,84,826,14.8,5,43,16,48.6,1,1,1,1,2021
39,40,Dalton Schultz,DAL,TE,17,78,104,808,10.4,8,32,6,47.5,0,0,0,0,2021
40,41,Rob Gronkowski,TB,TE,12,55,89,802,14.6,6,42,16,66.8,0,0,0,0,2021
41,41,Van Jefferson,LAR,WR,17,50,89,802,16.0,6,79,12,47.2,0,0,0,0,2021
42,43,Kendrick Bourne,NE,WR,17,55,70,800,14.5,5,75,10,47.1,1,1,1,1,2021
43,44,Mike Gesicki,MIA,TE,17,73,112,780,10.7,2,40,12,45.9,0,0,0,0,2021
44,45,Courtland Sutton,DEN,WR,17,58,98,776,13.4,2,55,9,45.6,0,0,0,0,2021
45,46,Russell Gage,ATL,WR,14,66,94,770,11.7,4,49,8,55.0,2,2,2,2,2021
46,47,Zach Ertz,ARI/PHI,TE,17,74,112,763,10.3,5,47,7,44.9,0,0,0,0,2021
47,48,Tim Patrick,DEN,WR,16,53,85,734,13.8,5,44,10,45.9,0,0,0,0,2021
48,49,Marquez Callaway,NO,WR,17,46,84,698,15.2,6,58,9,41.1,0,0,0,0,2021
49,50,Cole Beasley,BUF,WR,16,82,112,693,8.5,1,29,5,43.3,1,0,0,0,2021
0,1,Justin Jefferson,MIN,WR,17,128,184,"1,809",14.1,8,64,28,106.4,0,0,0,0,2022
1,2,Tyreek Hill,MIA,WR,17,119,170,"1,710",14.4,7,64,25,100.6,1,0,0,0,2022
2,3,Davante Adams,LV,WR,17,100,180,"1,516",15.2,14,60,24,89.2,1,0,0,0,2022
3,4,A.J. Brown,PHI,WR,17,88,145,"1,496",17.0,11,78,23,88.0,2,2,2,2,2022
4,5,Stefon Diggs,BUF,WR,16,108,154,"1,429",13.2,11,53,17,89.3,1,0,0,0,2022
5,6,CeeDee Lamb,DAL,WR,17,107,156,"1,359",12.7,9,39,24,79.9,0,0,0,0,2022
6,7,Jaylen Waddle,MIA,WR,17,75,117,"1,356",18.1,8,84,21,79.8,1,1,1,1,2022
7,8,Travis Kelce,KC,TE,17,110,152,"1,338",12.2,12,52,19,78.7,1,1,1,1,2022
8,9,DeVonta Smith,PHI,WR,17,95,136,"1,196",12.6,7,45,18,70.4,1,1,1,1,2022
9,10,Terry McLaurin,WSH,WR,17,77,120,"1,191",15.5,5,52,16,70.1,0,0,0,0,2022
10,11,Amon-Ra St. Brown,DET,WR,16,106,146,"1,161",11.0,6,49,11,72.6,0,0,0,0,2022
11,12,Amari Cooper,CLE,WR,17,78,132,"1,160",14.9,9,55,18,68.2,0,0,0,0,2022
12,13,Mike Evans,TB,WR,15,77,127,"1,124",14.6,6,63,19,74.9,0,0,0,0,2022
13,14,Christian Kirk,JAX,WR,17,84,133,"1,108",13.2,8,49,18,65.2,1,1,1,1,2022
14,15,Garrett Wilson,NYJ,WR,17,83,147,"1,103",13.3,4,60,13,64.9,1,1,1,1,2022
15,16,DK Metcalf,SEA,WR,17,90,141,"1,048",11.6,6,54,11,61.6,2,2,2,2,2022
16,17,Ja'Marr Chase,CIN,WR,12,87,134,"1,046",12.0,9,60,13,87.2,2,2,2,2,2022
17,18,Chris Olave,NO,WR,15,72,119,"1,042",14.5,4,53,13,69.5,2,2,2,2,2022
18,19,Tyler Lockett,SEA,WR,16,84,117,"1,033",12.3,9,40,14,64.6,1,1,1,1,2022
19,20,Tee Higgins,CIN,WR,16,74,109,"1,029",13.9,7,59,14,64.3,0,0,0,0,2022
20,21,Chris Godwin,TB,WR,15,104,142,"1,023",9.8,3,44,10,68.2,2,2,2,2,2022
21,22,Brandon Aiyuk,SF,WR,17,78,114,"1,015",13.0,8,54,17,59.7,1,1,1,1,2022
22,23,Jerry Jeudy,DEN,WR,15,67,100,972,14.5,6,67,14,64.8,0,0,0,0,2022
23,24,JuJu Smith-Schuster,KC,WR,16,78,101,933,12.0,3,53,9,58.3,3,2,2,2,2022
24,25,Michael Pittman Jr.,IND,WR,16,99,141,925,9.3,4,28,8,57.8,2,1,1,1,2022
25,26,T.J. Hockenson,MIN/DET,TE,17,86,129,914,10.6,6,81,5,53.8,1,1,1,1,2022
26,27,Mike Williams,LAC,WR,13,63,93,895,14.2,4,55,11,68.8,0,0,0,0,2022
27,28,DJ Moore,CAR,WR,17,63,118,888,14.1,7,62,17,52.2,0,0,0,0,2022
28,29,Diontae Johnson,PIT,WR,17,86,147,882,10.3,0,37,7,51.9,1,0,0,0,2022
29,30,Drake London,ATL,WR,17,72,117,866,12.0,4,40,10,50.9,3,3,3,3,2022
30,31,Mark Andrews,BAL,TE,15,73,113,847,11.6,5,36,7,56.5,1,0,0,0,2022
31,32,Donovan Peoples-Jones,CLE,WR,17,61,96,839,13.8,3,42,14,49.4,1,1,1,1,2022
32,33,Gabe Davis,BUF,WR,15,48,93,836,17.4,7,98,11,55.7,1,1,1,1,2022
33,34,Courtland Sutton,DEN,WR,15,64,109,829,13.0,2,51,11,55.3,0,0,0,0,2022
34,35,Zay Jones,JAX,WR,16,82,121,823,10.0,5,59,7,51.4,0,0,0,0,2022
35,36,Cooper Kupp,LAR,WR,9,75,98,812,10.8,6,75,11,90.2,2,1,1,1,2022
36,37,Jakobi Meyers,NE,WR,14,67,96,804,12.0,6,48,14,57.4,1,1,1,1,2022
37,38,George Pickens,PIT,WR,17,52,84,801,15.4,4,42,17,47.1,0,0,0,0,2022
38,39,Allen Lazard,GB,WR,15,60,100,788,13.1,6,47,13,52.5,0,0,0,0,2022
39,40,Joshua Palmer,LAC,WR,16,72,107,769,10.7,3,50,7,48.1,1,0,0,0,2022
40,41,Evan Engram,JAX,TE,17,73,98,766,10.5,4,36,10,45.1,0,0,0,0,2022
41,42,George Kittle,SF,TE,15,60,86,765,12.8,11,54,12,51.0,1,1,1,1,2022
42,43,Tyler Boyd,CIN,WR,16,58,82,762,13.1,5,60,10,47.6,0,0,0,0,2022
43,44,Keenan Allen,LAC,WR,10,66,89,752,11.4,4,46,7,75.2,1,1,1,1,2022
44,45,Christian McCaffrey,SF/CAR,RB,17,85,108,741,8.7,5,49,8,43.6,0,0,0,0,2022
45,46,Pat Freiermuth,PIT,TE,16,63,98,732,11.6,2,57,9,45.8,0,0,0,0,2022
46,47,Darius Slayton,NYG,WR,16,46,71,724,15.7,2,55,12,45.3,2,1,1,1,2022
47,48,Austin Ekeler,LAC,RB,17,107,127,722,6.7,5,23,4,42.5,2,1,1,1,2022
48,49,DeAndre Hopkins,ARI,WR,9,64,96,717,11.2,3,33,8,79.7,2,1,1,1,2022
49,50,Adam Thielen,MIN,WR,17,70,107,716,10.2,6,36,7,42.1,0,0,0,0,2022
